Time,Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Germany [DEU],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],India [IND],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]","Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],Mexico [MEX],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Saudi Arabia [SAU],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Spain [ESP],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],United Kingdom [GBR],United States [USA],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Vietnam [VNM],Virgin Islands (U.S.) [VIR],"Yemen, Rep. [YEM]",Zambia [ZMB],Zimbabwe [ZWE]
1970,11173654,2135479,14464992,27362,24275,5890360,64184,23880564,2525067,59070,12507000,7467086,5180032,169376,212607,64232486,238895,9040000,9655549,122184,2912338,55000,297307,4484004,3760536,627714,95113265,9830,129530,8489574,5624592,3479070,268633,6996576,6519754,21324000,9143,1811157,3643608,121200,9783134,818315000,21480064,230055,20011033,1326894,1847394,5102070,4412252,8712535,144739,613618,9858071,4928757,159662,71084,4499722,6069375,34513851,3673066,303986,1310947,1360076,431251,28415080,39008,520561,4606307,51957747,110490,589317,464404,4119900,78169289,8735493,28601,8792806,46400,94476,83875,5455197,4154606,704937,704930,4676237,2716652,3959000,10337910,204438,555189797,114793179,28513872,9917978,2957250,55431,2974000,53821850,1875637,103403000,1721315,13036140,11301394,51142,14410391,32240827,1219000,744444,2959900,2688429,2359164,2297436,1028930,1400730,2133527,21268,3139689,339171,246193,6576305,4703783,10804131,115688,5949042,302650,20394,1146776,826000,51493565,61415,2445328,23487,1278819,512407,16004732,9022747,27269063,817474,6553,12074628,13038526,112000,2810700,2406523,4510645,55982142,1720805,13000,3875763,723842,58142062,11803,1519286,2783132,2474757,13459789,35803591,32664300,8680431,2718000,109521,20250398,130404000,3757351,143146,19224,74570,5836388,4257508,6972000,53600,2744890,2074507,6854,4538223,1724891,160240,3444569,22069783,3494011,33814531,12485736,44878,104016,5707,90501,10281695,367926,8042801,6180877,6350544,2930108,13535487,36884525,571565,2115522,84344,945357,5063805,34876296,2195165,5837,5740,9405606,47088862,234512,55663250,205052000,2809799,12080311,85374,11396396,43404802,63476,6193379,4179062,5289312
1971,11475450,2187853,14872253,27982,25571,6041239,64354,24259564,2587716,59442,12937000,7500482,5284518,173894,220311,65531635,240093,9115576,9673162,124795,2976575,54600,306957,4581752,3805286,646350,97482928,10012,135672,8536395,5723378,3530000,271315,7139640,6689659,21962032,9588,1840517,3726189,122405,9942716,841105000,22003983,234645,20564062,1365891,1896074,5328735,4431275,8868087,147389,620860,9826815,4963126,169372,71569,4627202,6247421,35311905,3770060,298852,1347180,1376955,443979,29248650,39456,531622,4612124,52371320,114385,600608,478106,4163000,78312842,8973247,29007,8831036,47200,94212,85729,5589563,4223056,718359,713684,4757175,2798125,4045300,10367537,206098,567868021,117880146,29281583,10255853,2992050,56352,3069000,54073490,1904281,105697000,1809193,13250211,11713046,51979,14809518,32882704,1247000,798639,3022300,2762264,2376389,2354046,1052619,1436740,2228142,21729,3179041,342421,248745,6757853,4829092,11062434,119303,6044524,302700,21305,1181659,839230,53076366,62089,2479871,23721,1317042,515449,16350883,9232655,27913749,842353,6669,12323984,13194497,120000,2853000,2481345,4637984,57296988,1739529,13423,3903039,748968,59734479,12051,1563093,2849522,2535877,13836365,36849678,32783500,8643756,2762190,119413,20461567,131155000,3871428,145407,19393,76344,6100631,4387532,7013000,54695,2798727,2112900,7372,4557449,1738335,166163,3472357,22665265,3575896,34224490,12747831,44489,105244,5945,91490,10621471,369230,8098334,6213399,6570859,3020419,13971698,37963280,585250,2185667,85492,955753,5176290,35720603,2258965,5973,5770,9671856,47435008,277463,55896223,207661000,2818283,12446444,88012,11745952,44484032,70937,6290367,4319226,5476978
1972,11791222,2243126,15285992,28564,26885,6248965,64134,24653172,2650484,59849,13177000,7544201,5385266,177863,229151,66625706,241523,9188968,9711115,127152,3043563,54200,316822,4682392,3851153,667096,99859388,10210,142015,8576200,5825174,3569655,271841,7302114,6867170,22218463,10135,1867786,3815253,123611,10103675,862030000,22516429,239229,21121360,1406510,1944170,5576026,4450564,9025347,147710,628002,9867632,4991596,179237,71731,4755464,6429377,36102670,3867310,289508,1384789,1392518,457039,30140799,39915,542843,4639657,52793151,118438,611705,492424,4205300,78688452,9229640,29353,8888628,48300,93984,87580,5723759,4290544,732516,721949,4837334,2882102,4123600,10398489,209137,581087255,121017316,30075295,10599661,3036850,57166,3148000,54381345,1935089,107188000,1883923,13463985,12146070,52775,15207765,33505406,1278000,851918,3088200,2840842,2395674,2417837,1077102,1474567,2327487,22161,3213622,346600,248770,6946619,4958556,11324277,123347,6147464,302450,22335,1217443,852053,54689944,62275,2515217,24049,1356673,521785,16696890,9446235,28570093,868954,6798,12583142,13328593,125500,2903900,2558705,4768225,58665813,1754951,13884,3933004,776385,61381982,12342,1607797,2918138,2597149,14221954,37923400,33055650,8630430,2817256,130505,20657957,131909000,3987223,147295,19490,77930,6392973,4522886,7053000,56029,2854866,2152400,7892,4596622,1752233,172550,3479792,23281517,3661442,34604469,13002234,44318,106303,6156,92511,10974626,367907,8122300,6260956,6800148,3111284,14428340,39058594,600185,2247578,86327,968136,5291335,36587267,2324019,6156,5786,9929644,47783006,330968,56086065,209896000,2821458,12796982,90802,12097696,45548476,76319,6390573,4466170,5673914
1973,12108963,2296752,15709831,29103,28232,6497283,63649,25056475,2712780,60236,13380000,7586115,5483088,181519,239527,67637541,243076,9257272,9741720,129294,3113681,53800,326986,4785916,3897259,689906,102259497,10391,148516,8620967,5930493,3605120,271068,7449233,7052847,22491777,10778,1894850,3907891,124722,10265827,881940000,23024512,244207,21690448,1448632,1992522,5841513,4470161,9178809,146912,635105,9922266,5021861,190569,71739,4884460,6614840,36896551,3964273,277656,1423749,1405951,470561,31036670,40395,554143,4666081,53207744,122641,622914,507428,4242500,78936666,9493552,29657,8929086,49000,93661,89459,5858466,4357357,746178,729909,4918625,2968978,4241600,10432055,212317,594770136,124199693,30905721,10950888,3085950,57919,3278000,54751406,1966978,108707000,1948443,13673014,12600799,53558,15593353,34103149,1308000,905639,3153800,2919288,2415819,2481943,1102885,1514364,2430754,22560,3244438,350450,246945,7142634,5093368,11592638,127700,6256191,302200,23440,1254156,864819,56324310,62268,2549760,24445,1397305,530220,17048525,9668655,29238168,896264,6929,12852205,13439322,128500,2961300,2638699,4902151,60114615,1769002,14322,3960612,806985,63099404,12625,1653208,2989201,2659418,14615847,39022759,33357200,8633100,2878786,142181,20835681,132669000,4106411,148858,19561,79463,6711922,4660726,7091000,56892,2913347,2193000,8429,4641445,1766697,179306,3512626,23913090,3750780,34988947,13252033,44304,107311,6370,93559,11343923,364907,8136312,6307347,7037860,3203035,14902271,40159581,614264,2303344,86958,982006,5409338,37472329,2390212,6380,5819,10186452,48125829,394625,56194527,211909000,2822112,13140797,93749,12453709,46603522,84121,6500809,4619549,5877725
1974,12412960,2350124,16149018,29595,29515,6761623,63108,25462305,2773750,60527,13723000,7599038,5579071,185105,251908,68742222,244643,9317584,9772419,131305,3187413,53400,337491,4892294,3942221,714701,104706193,10551,155069,8678745,6040045,3646428,270228,7533332,7247284,22807969,11488,1924386,3999918,125680,10428803,900350000,23538390,250107,22282127,1492055,2042242,6121295,4490660,9320943,148351,642322,9988459,5045297,205180,71814,5014187,6803271,37708144,4060255,265762,1463986,1418169,484747,31861353,40847,565418,4690574,53592235,126919,634739,523250,4279500,78967433,9749098,29886,8962022,49500,93190,91378,5994300,4424030,757668,737846,5003708,3059245,4377800,10478720,215209,608802595,127422198,31786481,11312062,3137500,58673,3377000,55110868,1998313,110162000,2007735,13869975,13077341,54334,15952077,34692266,1339000,961773,3223900,2990963,2437186,2536772,1130634,1556288,2536895,22985,3273894,355050,244289,7345773,5235074,11871102,132102,6368346,301996,24530,1291857,878042,57966812,62456,2582697,24829,1438421,538902,17413149,9906963,29918469,922900,7062,13131260,13545056,131000,3023700,2721417,5040795,61677167,1784400,14672,3985258,841952,64905996,12823,1699056,3063051,2723816,15017060,40144250,33678899,8754365,2939299,153624,21029429,133432000,4231579,150191,19661,81148,7054532,4797188,7128000,57937,2974105,2229800,8977,4689623,1776132,186297,3632986,24552540,3844094,35373335,13501931,44322,108389,6601,94618,11732957,361665,8159955,6341405,7283181,3296092,15388933,41252320,624561,2356620,87584,996479,5530978,38370278,2457379,6610,5903,10453029,48452623,467457,56229974,213854000,2824095,13491114,96773,12816954,47657554,89941,6630003,4778716,6085078
1975,12689164,2404831,16607706,30045,30705,7023994,62671,25865775,2832752,60653,13893000,7578903,5674129,188895,266540,70066310,246158,9367000,9800700,133264,3265167,53000,348395,5001413,3985107,741346,107216209,10697,161635,8720742,6154554,3700879,270240,7524457,7451057,23143275,12234,1958367,4088568,126420,10592310,916395000,24065502,257285,22903587,1536658,2094186,6412409,4512082,9446441,149129,649753,10058620,5059862,224177,72088,5144632,6994331,38549133,4154689,255808,1505438,1429352,499759,32566855,41292,576626,4711440,53931390,131229,647538,539985,4311200,78673554,9985946,30062,9046541,49600,92494,93351,6131151,4491248,765985,745847,5094570,3153252,4461600,10540525,217979,623102900,130680730,32729772,11684579,3189550,59482,3455000,55441001,2028019,111573000,2065916,14050227,13575898,55114,16274737,35280725,1369000,1021725,3292400,3051583,2456130,2575746,1160795,1600454,2645136,23436,3301652,358950,241631,7556032,5384798,12162189,136418,6482282,304222,25579,1330594,892000,59607947,63122,2611616,25203,1479646,546487,17796171,10165216,30611093,947925,7178,13420367,13666335,132500,3083100,2806859,5184940,63374289,1803008,14917,4007313,882038,66816875,12898,1745142,3139944,2791236,15424745,41285741,34015199,9093470,2994000,164314,21293583,134200000,4364709,151353,19829,83134,7419486,4929846,7163000,59292,3037158,2262600,9556,4739105,1793581,193401,3880285,25195184,3941613,35757900,13755141,44271,109634,6882,95665,12144128,359234,8192437,6338632,7535715,3390941,15885228,42326307,629227,2410451,88321,1010934,5656912,39277249,2525374,6832,6064,10737403,48755662,548295,56225800,215973000,2830172,13857469,99863,13189511,48718190,94484,6784699,4943279,6293875
1976,12943093,2458526,17085799,30455,31782,7279630,62353,26264681,2889583,60586,14033000,7565525,5768730,192903,283746,71652386,247584,9411000,9818227,135143,3347169,53200,359721,5113458,4025271,769982,109790943,10821,168173,8758599,6274032,3770870,271345,7404687,7664398,23449808,13023,1997017,4173131,126908,10756876,930685000,24608102,265958,23560470,1582361,2148681,6713949,4535934,9554186,149399,657524,10125939,5072596,248556,72662,5275767,7187794,39422731,4247508,247969,1547978,1439576,515602,33128151,41724,587561,4725664,54220033,135559,661398,557810,4342400,78336950,10199164,30179,9188150,49700,91469,95380,6269983,4559239,770415,754101,5191637,3251145,4518000,10598677,220154,637630085,133966940,33733975,12068675,3238050,60374,3533000,55718260,2055371,112775000,2123180,14212145,14096258,55922,16554744,35848523,1400000,1085866,3358700,3098962,2470989,2596409,1193517,1645833,2754698,23933,3328664,360731,239074,7773452,5545653,12468688,140563,6596721,305774,26548,1370364,906507,61242189,64360,2638126,25523,1520868,552562,18198836,10443954,31314347,971117,7284,13719466,13774037,134000,3110500,2894967,5335083,65221379,1825559,15024,4026152,927434,68834324,12835,1791389,3219825,2861868,15838568,42446659,34356300,9355810,3043854,173716,21551634,135147000,4506109,152362,20086,85475,7802928,5057375,7214000,60504,3102595,2293300,10147,4789507,1820249,200602,4278974,25836890,4041792,36137812,14012894,44140,111074,7250,96694,12578398,357949,8222286,6302504,7794658,3487658,16390161,43377270,627255,2464424,89228,1025104,5786482,40189561,2594315,7020,6319,11042975,49032729,637926,56211968,218035000,2841371,14242766,103002,13572210,49785278,96166,6967944,5112823,6502566
1977,13171294,2513546,17582899,30834,32769,7533814,62162,26661397,2944375,60366,14192000,7568430,5863138,197100,303169,73463593,248931,9463000,9830358,136990,3433445,53400,371424,5228253,4063188,800532,112425392,10923,174717,8804183,6398933,3854446,273335,7196042,7887571,23725843,13848,2039914,4255242,127186,10922777,943455000,25164544,275903,24249127,1629218,2205618,7026497,4559571,9646142,149459,665521,10186755,5088419,277472,73443,5407496,7383713,40329589,4338451,242160,1591622,1450211,532253,33577240,42133,598299,4738902,54467709,139893,676264,576755,4372100,78159814,10395453,30228,9308479,49400,90219,97477,6412667,4628881,771732,762424,5294625,3352825,4583700,10648031,221799,652408766,137278057,34803041,12462059,3282200,61335,3613000,55955411,2080824,113872000,2179361,14359629,14638887,56759,16796568,36411795,1430000,1153573,3423900,3135839,2485073,2601734,1228527,1692155,2865639,24451,3355036,361358,236669,7998157,5717954,12790313,144625,6712267,306970,27479,1411139,921379,62869908,66079,2660619,25811,1562207,557576,18620087,10738534,32026748,992955,7396,14028535,13856185,136000,3120200,2985480,5491158,67203134,1851070,15049,4043205,977804,70958168,12646,1837804,3302636,2935710,16258323,43629415,34689050,9455675,3088690,182319,21756096,136100000,4655386,153218,20397,88102,8207695,5181505,7258000,61786,3170503,2325300,10791,4840501,1842377,207885,4802134,26480915,4144552,36511638,14273495,43944,112685,7713,97708,13034631,357649,8251540,6281174,8060652,3586516,16905222,44405903,619817,2518454,90259,1039210,5919958,41108290,2664262,7193,6650,11368618,49287118,735347,56193492,220239000,2856958,14643881,106206,13964377,50861166,93203,7178672,5287544,6712825
1978,13341199,2566266,18102266,31262,33744,7790774,62038,27061041,2997419,60102,14358000,7562305,5957927,201482,323468,75450033,250200,9525000,9839534,138975,3523933,53600,383324,5344946,4100355,832467,115121158,11041,181201,8814032,6530820,3949264,276182,6957267,8121081,23963203,14681,2087662,4337292,127395,11089165,956165000,25733669,286628,24956387,1677326,2264942,7350269,4581085,9724044,148341,673253,10242098,5104248,308008,74280,5539596,7582357,41275728,4426679,239681,1636771,1460188,549787,33993301,42539,609383,4752528,54691866,144273,692078,596540,4397700,78091820,10590265,30224,9429959,49200,89104,99629,6561919,4702371,772137,770128,5404020,3458102,4667500,10684822,223537,667499815,140621731,35960811,12860678,3329100,62260,3690000,56155143,2105903,114913000,2237936,14499957,15205381,57613,17015984,36969185,1460000,1224063,3487100,3168838,2497921,2597202,1265211,1740919,2979102,24968,3379514,362007,235175,8230214,5896864,13122833,148774,6831090,310182,28400,1453028,933499,64494872,68196,2682309,26090,1603910,562065,19059773,11041206,32748782,1014055,7505,14347653,13941700,137500,3121200,3077861,5652655,69271915,1877690,15167,4058671,1032797,73197254,12409,1884427,3388631,3013281,16683451,44838485,34965600,9558250,3129421,191947,21951464,137060000,4812872,153986,20764,90846,8646845,5306685,7297000,62150,3240841,2353600,11481,4890125,1862548,215299,5375018,27138966,4253085,36864898,14533691,43703,114398,8191,98688,13510429,358103,8275599,6281738,8336421,3688411,17432756,45413082,610048,2576293,91336,1053560,6060158,42039983,2734899,7380,7018,11712540,49523304,835498,56196504,222585000,2875724,15057226,109397,14364726,51959021,95929,7414167,5468259,6929663
1979,13411060,2617832,18647801,31842,34825,8058112,61948,27471046,3049107,59972,14514000,7549425,6053635,205991,342804,77529040,251347,9584000,9848382,141302,3618519,53800,395192,5462413,4138816,865073,117878412,11226,187596,8825940,6671656,4051239,279729,6770393,8365560,24201544,15485,2140778,4422743,127691,11254877,969005000,26312996,297451,25663598,1726865,2326460,7685927,4594778,9790850,147851,680010,10292341,5116801,336080,74960,5671801,7784074,42267429,4511127,241977,1683932,1468333,568316,34487806,42941,621584,4764690,54917110,148734,708788,616770,4430200,78126350,10805318,30172,9548258,49600,88603,101837,6720582,4782491,774726,776257,5520187,3566661,4929700,10704152,225735,682995348,144009844,37237145,13259107,3373750,63026,3786000,56317749,2132784,115890000,2303116,14643133,15797771,58469,17235668,37534236,1491000,1296077,3552000,3207331,2505953,2590911,1302670,1794251,3096724,25463,3397842,362856,235440,8469677,6075485,13460035,153276,6956409,313342,29417,1496174,949888,66123908,70515,2703999,26391,1646290,566888,19516942,11341405,33481397,1035379,7626,14676932,14038270,138500,3109000,3171404,5818763,71361141,1902718,15640,4072517,1091858,75561128,12231,1931302,3478093,3095151,17113393,46079844,35247217,9661265,3168088,205172,22090488,138027000,4978812,154740,21122,93458,9137928,5439069,7332000,62686,3313506,2383500,12244,4938973,1882599,222841,5892763,27827325,4371711,37191330,14788866,43452,116148,8557,99649,14002302,358826,8293678,6294365,8625693,3794457,17976219,46401750,602363,2642693,92271,1068644,6210756,42994043,2805817,7607,7357,12071140,49747998,931752,56246951,225055000,2895683,15476928,112543,14771270,53095406,96183,7669699,5656145,7160021
1980,13356500,2671997,19221659,32648,36063,8341290,61861,27896532,3099759,60097,14692000,7549433,6150735,210589,359897,79639498,252388,9643000,9859242,144142,3717161,54670,406883,5579932,4179850,897860,120694012,11471,193880,8861535,6822837,4157296,283848,6693759,8621409,24515667,16207,2199359,4514427,128204,11419350,981235000,26900508,307831,26358905,1777932,2389973,8033652,4599782,9849457,148041,685408,10304193,5123027,358960,75318,5803929,7989178,43309063,4591135,249931,1733423,1477219,587852,35141703,43339,635312,4779535,55161510,153298,726335,637252,4467700,78288576,11056112,30068,9642505,50200,89032,104134,6890346,4871446,781678,780153,5643175,3678274,5063100,10711122,228138,698952837,147447834,38650244,13653348,3412800,63546,3878000,56433883,2162839,116807000,2377997,14796175,16417203,59296,17472144,38123775,1521000,1368680,3617400,3258149,2511701,2588928,1340258,1852991,3219462,25881,3413202,364150,238085,8716549,6250434,13798094,158271,7090124,316645,30574,1540644,966039,67761367,72936,2728099,26752,1689622,572608,19990006,11630194,34224316,1057723,7751,15016408,14149800,140050,3112900,3265520,5989000,73423646,1924203,16633,4085620,1154373,78054346,12178,1978489,3571209,3181627,17547612,47357741,35574150,9766312,3206000,223622,22207282,139010000,5153314,155522,21453,95788,9691471,5583157,7362000,63261,3388494,2413945,13097,4979815,1901315,230550,6281138,28556771,4502603,37491165,15035840,43201,117828,8777,100566,14507466,359531,8310531,6319408,8930776,3905443,18538263,47374463,599907,2720835,92966,1084743,6374040,43975972,2876809,7894,7631,12442333,49965872,1019507,56314216,227225000,2915389,15898760,115598,15182616,54281841,99636,7941903,5851818,7408630
1981,13171679,2726056,19824297,33697,37498,8640478,61789,28338514,3148096,60561,14927000,7568710,6249312,215321,374120,81767516,253296,9710000,9858982,147572,3820126,55050,418107,5697098,4222479,930412,123570327,11821,200027,8891117,6985166,4266520,288678,6749849,8888534,24819915,16857,2264441,4612858,128986,11582020,993885000,27496608,317617,27040329,1830629,2455593,8393689,4611509,9898891,148629,689170,10300591,5121572,374934,75314,5935895,8197648,44400113,4666361,264370,1784557,1487666,608374,35984531,43725,651032,4799964,55430278,157954,744695,657581,4504500,78407907,11348287,29902,9729350,51000,90610,106482,7071186,4969595,793804,781734,5773367,3792922,5183400,10711848,230755,715384997,150938222,40199911,14044115,3453000,63778,3956000,56501675,2196921,117661000,2464870,14958897,17063870,60101,17731229,38723248,1552000,1439334,3685800,3323353,2519421,2594299,1377808,1918832,3347779,26229,3432947,365225,243373,8971339,6412380,14134060,163821,7234725,318982,31883,1586496,980462,69407623,75422,2754609,27162,1733475,579445,20479709,11913085,34976465,1080938,7871,15367229,14247208,142650,3124900,3360142,6163711,75440505,1941527,18168,4099702,1220578,80680461,12281,2025965,3668102,3272922,17985398,48672831,35898587,9851362,3242552,247984,22353070,139941000,5329250,156410,21761,97767,10311771,5740441,7405000,64035,3464113,2532835,14030,5016105,1906531,238423,6511115,29333095,4646478,37758631,15272822,42963,119435,8675,101439,15027254,360144,8320503,6354074,9252854,4020818,19120683,48326269,603837,2812312,93415,1101983,6551232,44988411,2947783,8243,7825,12825084,50221000,1096602,56333829,229466000,2934624,16321692,118546,15597878,55522804,99853,8231905,6055361,7675582
1982,12882518,2784278,20452901,34969,39115,8952971,61780,28794550,3193696,61341,15178000,7574140,6349555,220182,385953,83932132,254078,9776000,9856303,151486,3927717,55449,428938,5814344,4265183,962859,126498322,12250,206064,8917457,7158259,4379727,294244,6919803,9166813,25116942,17436,2335339,4718157,129976,11743909,1008630000,28101824,326944,27717293,1884873,2523358,8764991,4634234,9940314,150101,691716,10314826,5117810,385268,75012,6067769,8409396,45539295,4737256,284638,1836825,1498414,629812,36995246,44101,668281,4826933,55718940,162679,763932,678111,4542800,78333366,11676828,29698,9789513,51500,93132,108901,7262658,5077073,810402,781249,5910223,3910642,5264500,10705535,233860,732239498,154468235,41869231,14432466,3485800,63765,4031000,56543548,2234062,118480000,2563525,15128090,17736326,60887,18008568,39326352,1582000,1507636,3759300,3401193,2531080,2606148,1415362,1989477,3480443,26533,3457179,365525,251154,9234137,6565985,14471215,169849,7388670,325898,33330,1633655,992521,71058650,78015,2782725,27633,1777727,587001,20984023,12189817,35734273,1105103,8016,15729431,14312690,145700,3156100,3455129,6343530,77427539,1955247,20163,4114787,1290121,83431597,12519,2073748,3768489,3368763,18426420,50023564,36230481,9911771,3277453,277229,22475741,140823000,5504847,157365,22043,99478,10988851,5909734,7440000,64413,3540164,2646466,15032,5055099,1910334,246451,6608040,30150448,4799435,37986012,15501210,42733,120987,8372,102255,15562129,360927,8325263,6391309,9590226,4140297,19723317,49255889,613233,2915618,93636,1120019,6740520,46025411,3019064,8654,7951,13221991,50384000,1164816,56313641,231664000,2953852,16747428,121398,16017570,56814309,100068,8541605,6265869,7958239
1983,12537732,2843960,21101875,36413,40854,9278104,61779,29262049,3238592,62213,15369000,7561910,6452067,225095,396451,86142490,254791,9843000,9855520,155820,4039940,55930,439823,5932812,4307907,996124,129448815,12755,212073,8939738,7340910,4497544,300226,7170004,9456496,25366451,18005,2408322,4832316,131153,11907955,1023310000,28714183,336088,28403858,1940454,2593015,9144940,4658254,9981303,151159,694076,10323856,5114297,393800,74484,6199657,8624594,46728284,4804936,308208,1890556,1508745,652112,38142679,44483,685497,4855787,56023775,167456,784056,700198,4582900,78128282,12033559,29481,9846627,52100,96020,111403,7462585,5195443,830212,778953,6051617,4031333,5345100,10689463,236977,749428958,158009248,43636838,14815653,3510600,63697,4105000,56564074,2271735,119307000,2671413,15303316,18431760,61736,18298212,39910403,1614000,1576975,3838300,3489910,2546011,2622072,1452727,2057232,3614682,26790,3485192,365622,260921,9504283,6737924,14819430,176255,7545163,330524,34881,1681859,1001691,72709306,80630,2811645,28091,1823214,594506,21495088,12439773,36491804,1131624,8163,16100623,14367070,148700,3199300,3549711,6528646,79414841,1965892,22622,4128432,1361085,86285936,12842,2121863,3871490,3468533,18870988,51408910,36571808,9957865,3311138,309299,22560478,141668000,5690989,158345,22295,101064,11701132,6089567,7468000,64335,3619854,2681061,16175,5091971,1922321,254566,6618594,30993762,4953154,38171525,15724641,42477,122571,8296,103035,16107613,362282,8329033,6418773,9938852,4265278,20344550,50173922,626677,3026980,93736,1138071,6937332,47073470,3091510,9096,8041,13638729,50564000,1228457,56332848,233792000,2973048,17177663,124213,16443128,58148384,100348,8869363,6481907,8254746
